reviewScore,genres,runtime,name,titleId
6.3,"Action,Adventure,Mystery",118 min,Total Recall,tt1386703
6.2,"Comedy,Fantasy,Horror",113 min,Dark Shadows,tt1077368
7.3,"Crime,Drama,Thriller",140 min,The Place Beyond the Pines,tt1817273
8.1,"Adventure,Drama,Fantasy",130 min,Harry Potter and the Deathly Hallows: Part 2,tt1201607
7.8,"Action,Adventure,Sci-Fi",132 min,X-Men: First Class,tt1270798
8.6,"Biography,Comedy,Drama",112 min,The Intouchables,tt1675434
7.4,"Mystery,Sci-Fi,Thriller",105 min,Limitless,tt1219289
7.5,"Mystery,Romance,Sci-Fi",93 min,Source Code,tt0945513
7.4,"Comedy,Drama,Romance",118 min,"Crazy, Stupid, Love.",tt1570728
7.4,"Action,Adventure,Thriller",133 min,Mission: Impossible - Ghost Protocol,tt1229238
7.5,"Action,Adventure,Crime",129 min,Sherlock Holmes: A Game of Shadows,tt1515091
7.8,"Crime,Drama,Mystery",158 min,The Girl with the Dragon Tattoo,tt1568346
8.1,Drama,146 min,The Help,tt1454029
7.7,"Comedy,Fantasy,Romance",94 min,Midnight in Paris,tt1605783
7.3,"Action,Crime,Thriller",131 min,Fast Five,tt1596343
6.6,"Comedy,Romance",109 min,Friends with Benefits,tt1632708
7.1,"Action,Drama,Family",127 min,Real Steel,tt0433035
5.6,"Action,Adventure,Sci-Fi",114 min,Green Lantern,tt1133985
6.9,"Action,Mystery,Thriller",113 min,Unknown,tt1401152
6.8,"Action,Adventure,Drama",117 min,The Grey,tt1601913
6.1,"Action,Fantasy",110 min,Sucker Punch,tt0978764
7.0,"Adventure,Comedy,Sci-Fi",104 min,Paul,tt1092026
7.1,Drama,101 min,The Ides of March,tt1124035
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
